"Date","Month","Month Name","Year","Province","Island","New Cases","New Death","New Recovered","New Active Cases"
"2020-01-08","1","January","2020","Jawa Timur","Jawa","9","3","1","5"
"2020-01-09","1","January","2020","Jawa Timur","Jawa","0","1","23","-24"
"2020-01-10","1","January","2020","Jawa Timur","Jawa","0","1","14","-15"
"2020-01-11","1","January","2020","Jawa Timur","Jawa","0","3","8","-11"
"2020-01-12","1","January","2020","Jawa Timur","Jawa","0","3","1","-4"
"2020-01-13","1","January","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-01-14","1","January","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-01-15","1","January","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-01-16","1","January","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-01-17","1","January","2020","Jawa Timur","Jawa","0","0","4","-4"
"2020-01-18","1","January","2020","Jawa Timur","Jawa","0","0","8","-8"
"2020-01-19","1","January","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-01-20","1","January","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-01-21","1","January","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-01-22","1","January","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-01-23","1","January","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-01-24","1","January","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-01-25","1","January","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-01-26","1","January","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-01-27","1","January","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-01-28","1","January","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-01-29","1","January","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-01-30","1","January","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-01-31","1","January","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-02-01","2","February","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-02-02","2","February","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-02-03","2","February","2020","Jawa Timur","Jawa","0","0","2","-2"
"2020-02-04","2","February","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-02-05","2","February","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-02-06","2","February","2020","Jawa Timur","Jawa","0","0","4","-4"
"2020-02-07","2","February","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-02-08","2","February","2020","Jawa Timur","Jawa","0","0","13","-13"
"2020-02-09","2","February","2020","Jawa Timur","Jawa","0","4","27","-31"
"2020-02-10","2","February","2020","Jawa Timur","Jawa","0","0","20","-20"
"2020-02-11","2","February","2020","Jawa Timur","Jawa","0","3","7","-10"
"2020-02-12","2","February","2020","Jawa Timur","Jawa","0","5","0","-5"
"2020-02-13","2","February","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-02-14","2","February","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-02-15","2","February","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-02-16","2","February","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-02-17","2","February","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-02-18","2","February","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-02-19","2","February","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-02-20","2","February","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-02-21","2","February","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-02-22","2","February","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-02-23","2","February","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-02-24","2","February","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-02-25","2","February","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-02-26","2","February","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-02-27","2","February","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-02-28","2","February","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-02-29","2","February","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-03-01","3","March","2020","DKI Jakarta","Jawa","2","0","0","2"
"2020-03-01","3","March","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-03-02","3","March","2020","DKI Jakarta","Jawa","2","0","0","2"
"2020-03-02","3","March","2020","Jawa Barat","Jawa","3","0","0","3"
"2020-03-02","3","March","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-03-02","3","March","2020","Riau","Sumatera","1","0","0","1"
"2020-03-03","3","March","2020","DKI Jakarta","Jawa","2","0","0","2"
"2020-03-03","3","March","2020","Jawa Barat","Jawa","1","1","0","0"
"2020-03-03","3","March","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-03-03","3","March","2020","Riau","Sumatera","0","0","0","0"
"2020-03-04","3","March","2020","DKI Jakarta","Jawa","2","0","0","2"
"2020-03-04","3","March","2020","Jawa Barat","Jawa","1","0","0","1"
"2020-03-04","3","March","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-03-04","3","March","2020","Riau","Sumatera","0","0","0","0"
"2020-03-05","3","March","2020","DKI Jakarta","Jawa","0","1","0","-1"
"2020-03-05","3","March","2020","Jawa Barat","Jawa","1","0","0","1"
"2020-03-05","3","March","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-03-05","3","March","2020","Riau","Sumatera","0","0","0","0"
"2020-03-06","3","March","2020","Banten","Jawa","1","0","1","0"
"2020-03-06","3","March","2020","DKI Jakarta","Jawa","0","0","0","0"
"2020-03-06","3","March","2020","Jawa Barat","Jawa","1","0","0","1"
"2020-03-06","3","March","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-03-06","3","March","2020","Riau","Sumatera","0","0","0","0"
"2020-03-07","3","March","2020","Banten","Jawa","0","0","0","0"
"2020-03-07","3","March","2020","DKI Jakarta","Jawa","0","2","0","-2"
"2020-03-07","3","March","2020","Jawa Barat","Jawa","0","0","0","0"
"2020-03-07","3","March","2020","Jawa Timur","Jawa","0","0","0","0"
"2020-03-07","3","March","2020","Riau","Sumatera","0","0","0","0"
"2020-03-08","3","March","2020","Banten","Jawa","1","0","3","-2"
"2020-03-08","3","March","2020","DKI Jakarta","Jawa","0","0","0","0"
"2020-03-08","3","March","2020","Jawa Barat","Jawa","0","0","0","0"
"2020-03-08","3","March","2020","Jawa Tengah","Jawa","1","1","0","0"
"2020-03-08","3","March","2020","Jawa Timur","Jawa","0","2","0","-2"
"2020-03-08","3","March","2020","Riau","Sumatera","0","0","0","0"
"2020-03-09","3","March","2020","Banten","Jawa","0","0","0","0"
"2020-03-09","3","March","2020","DKI Jakarta","Jawa","0","1","0","-1"
"2020-03-09","3","March","2020","Jawa Barat","Jawa","0","0","0","0"
"2020-03-09","3","March","2020","Jawa Tengah","Jawa","0","0","0","0"
"2020-03-09","3","March","2020","Jawa Timur","Jawa","0","2","27","-29"
"2020-03-09","3","March","2020","Riau","Sumatera","0","0","0","0"
"2020-03-10","3","March","2020","Banten","Jawa","0","0","8","-8"
"2020-03-10","3","March","2020","DKI Jakarta","Jawa","0","0","0","0"
"2020-03-10","3","March","2020","Jawa Barat","Jawa","0","0","0","0"
"2020-03-10","3","March","2020","Jawa Tengah","Jawa","0","0","0","0"
"2020-03-10","3","March","2020","Jawa Timur","Jawa","0","1","19","-20"
"2020-03-10","3","March","2020","Riau","Sumatera","0","0","0","0"
"2020-03-10","3","March","2020","Sulawesi Tenggara","Sulawesi","1","0","0","1"
"2020-03-11","3","March","2020","Bali","Nusa Tenggara","1","1","0","0"
"2020-03-11","3","March","2020","Banten","Jawa","0","0","8","-8"
"2020-03-11","3","March","2020","DKI Jakarta","Jawa","0","0","0","0"
"2020-03-11","3","March","2020","Jawa Barat","Jawa","0","1","0","-1"
"2020-03-11","3","March","2020","Jawa Tengah","Jawa","2","1","1","0"
"2020-03-11","3","March","2020","Jawa Timur","Jawa","0","0","9","-9"
"2020-03-11","3","March","2020","Riau","Sumatera","0","0","0","0"
