"Province","Total Case","Total Death","Total Recovered"
"Aceh","20140","862","15541"
"Bali","54079","1618","46181"
"Banten","61689","1457","50554"
"Bengkulu","11671","194","9530"
"DKI Jakarta","636383","9270","527060"
"Daerah Istimewa Yogyakarta","72560","1892","54352"
"Jambi","13935","284","11892"
"Jawa Barat","440379","6008","348694"
"Jawa Tengah","285348","12562","223706"
"Jawa Timur","189705","13635","160296"
"Kalimantan Barat","16811","413","14371"
"Kalimantan Selatan","37176","1091","34774"
"Kalimantan Tengah","27808","556","21082"
"Kalimantan Timur","83762","2003","73864"
"Kalimantan Utara","14274","210","12318"
"Kepulauan Bangka Belitung","23188","365","20761"
"Kepulauan Riau","30637","639","23933"
"Lampung","24378","1149","19184"
"Maluku","10465","164","7708"
"Maluku Utara","6526","142","4650"
"Nusa Tenggara Barat","13466","498","11458"
"Nusa Tenggara Timur","22933","493","17388"
"Papua","21503","213","11696"
"Papua Barat","13087","199","9829"
"Riau","74899","2019","67986"
"Sulawesi Barat","6251","127","5595"
"Sulawesi Selatan","67280","1021","62671"
"Sulawesi Tengah","14669","423","12988"
"Sulawesi Tenggara","12447","252","10412"
"Sulawesi Utara","17424","572","15525"
"Sumatera Barat","55675","1259","48840"
"Sumatera Selatan","31147","1569","27088"
"Sumatera Utara","38040","1232","33773"
